Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Score_class
Monster Hunter Freedom Unite,10,2008,7,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,6,High
Batman: Arkham City,8,2011,0,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,6,High
Grand Theft Auto V,16,2014,0,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,4,High
Mario Kart: Super Circuit,3,2001,6,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,1,High
Crash Bandicoot: The Wrath of Cortex,7,2001,4,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,1,Low
Call of Duty: World at War,8,2008,8,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,4,High
Uncharted 4: A Thief's End,9,2016,8,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,6,High
Final Fantasy XIII,8,2009,7,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,6,High
Final Fantasy IX,6,2000,7,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,6,High
Assassin's Creed III,14,2012,0,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,4,High
Final Fantasy X-2,7,2003,7,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,6,High
Call of Duty: Advanced Warfare,16,2014,8,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,4,High
Assassin's Creed II,14,2009,0,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,4,High
New Super Mario Bros. U,13,2012,4,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,1,High
Dragon Quest VIII: Journey of the Cursed King,7,2004,7,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,6,High
Professor Layton and the Curious Village,2,2007,5,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,1,High
FIFA Soccer 13,14,2012,0,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,1,High
Diablo III,5,2012,7,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,4,High
Medal of Honor: Rising Sun,7,2003,8,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA,6,Average
Guitar Hero II,7,2006,3,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,6,High
Fable III,14,2010,7,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,4,High
Resident Evil 5,8,2009,0,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom,4,High
The Legend of Zelda: Phantom Hourglass,2,2007,0,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,1,High
FIFA Soccer 11,8,2010,10,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,EA Sports,1,High
Resident Evil,6,1996,0,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Capcom,4,High
Grand Theft Auto: Vice City Stories,10,2006,0,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Rockstar Leeds,4,High
Tony Hawk's Pro Skater,6,1999,10,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,6,High
Guitar Hero III: Legends of Rock,7,2007,3,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",6,High
Link's Crossbow Training,12,2007,8,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,6,Average
Fallout 3,14,2008,7,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios,4,High
Uncharted: Drake's Fortune,8,2007,0,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",6,High
Madden NFL 06,7,2005,10,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,EA Sports,1,High
StarCraft II: Wings of Liberty,5,2010,11,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,6,High
Assassin's Creed,8,2007,1,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,4,High
God of War III,8,2010,0,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,4,High
Crash Team Racing,6,1999,6,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Naughty Dog,1,High
LEGO Star Wars: The Complete Saga,2,2007,0,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion,1,High
Driver 2,6,2000,0,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Reflections Interactive,6,Low
Batman: Arkham City,14,2011,0,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,6,High
Tony Hawk's Pro Skater 2,6,2000,10,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,6,High
The Lord of the Rings: The Two Towers,7,2002,0,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,6,High
Tomb Raider,6,1996,0,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.,6,High
Animal Crossing: City Folk,12,2008,9,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,1,Average
Uncharted: The Nathan Drake Collection,9,2015,0,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games,6,High
The Legend of Zelda: The Wind Waker,4,2002,0,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,1,High
Guitar Hero III: Legends of Rock,12,2007,3,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,6,High
Luigi's Mansion: Dark Moon,0,2013,0,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,1,High
Forza Motorsport 4,14,2011,6,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10,1,High
Madden NFL 2005,7,2004,10,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,1,High
Guitar Hero III: Legends of Rock,14,2007,3,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment,6,High
Madden NFL 07,7,2006,10,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,1,High
Halo 5: Guardians,16,2015,8,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries,6,High
Spider-Man: The Movie,7,2002,0,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Treyarch,1,Average
Call of Duty: Infinite Warfare,9,2016,8,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,4,Average
God of War,7,2005,0,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica,4,High
Splatoon,13,2015,8,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,2,High
Nintendo Land,13,2012,3,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,2,Average
Tony Hawk's Pro Skater 3,7,2001,10,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,6,High
Winning Eleven: Pro Evolution Soccer 2007,7,2006,10,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Konami,1,High
The Elder Scrolls IV: Oblivion,14,2006,7,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0,Bethesda Softworks,4,High
Need for Speed: Most Wanted,7,2005,6,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,EA Canada,6,High
Michael Jackson: The Experience,12,2010,3,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",2,Low
Resistance: Fall of Man,8,2006,8,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715.0,Insomniac Games,4,High
Kingdom Hearts II,7,2005,7,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766.0,Square Enix,2,High
Super Mario 3D World,13,2013,4,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,Nintendo,1,High
Fable II,14,2008,7,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423.0,Lionhead Studios,4,High
Namco Museum,3,2001,3,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,Mass Media,1,High
